53. Agile Devops West A Techwell Event, 07 Jun, 2020,Las Vegas,USA,Paid,https://agiledevopswest.techwell.com/
54. Portland 2020, 08 Jun, 2020,Oregon City, USA,Paid,http://monitorama.com/2020/pdx.html
55. Craft Conference, 09 Jun, 2020,Budapest, Hungary,Paid,https://craft-conf.com/
56. FlOW, 10 Jun, 2020,Utrecht,Netherlands,Paid,https://srvision.nl/en
57. QCon, 15 Jun, 2020,New York,US,Paid,https://qconnewyork.com/
58. DockerCon, 15 Jun, 2020,Austin ,US,Paid,https://www.docker.com/dockercon/
59. Internet Of Things Conference 2020, 17 Jun, 2020,Munich,Germany,Paid,https://iotcon.de/de/
60. Machine Learning Conference, 17 Jun, 2020,Munich,Germany,Paid,https://mlconference.ai/
61. Bareos, 19 Jun, 2020,Berlin, Germany,Paid,https://opensourcecamp.de/
62. DevOps Enterprise Summit, 23 Jun, 2020,London, UK,Paid,https://events.itrevolution.com/eur
63. DevOps Enterprise Summit, 23 Jun, 2020,London, UK,Paid,https://events.itrevolution.com/
64. DevOps India Summit, 10 Jul, 2020,Bengaluru,India,Paid,https://devopsindiasummit.com/
65. MongoDB Local Houston 2019 , 20 Aug, 2020,Houston,Texas,Paid,https://www.eventbrite.com/e/mongodblocal-houston-2019-tickets-64189746259
66. IoTShow.in, 13 Feb, 2020, Bangalore,India,Paid,https://www.iotshow.in/
67. Machine Learning Developers, 30 Jan, 2020, Hyderabad,India,Paid,https://www.mlds.analyticsindiasummit.com/
68. Title of conf, 07 May, 2020, Detroit,USA,Paid,https://www.titleofconf.org/
69. self.conference, 08 May, 2020, Detroit,USA,Paid,https://selfconference.org/
70. Open UP Global Summit 2020, 12 Sept, 2020, Taipei,Taiwan,Paid,https://www.wetogether.co/events/10038
71. Car Summit, 07 April, 2020, San Jose,USA,Paid,https://www.voiceofthecar.com/
72. Conversational Interaction Conference, 10 February, 2020, San Jose,USA,Paid,https://www.conversationalinteraction.com/
73. Speech Tek, 27 April, 2020, Washington D.C.,USA,Paid,https://www.speechtek.com/2019/default.aspx
